ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13705478,JH558920,12/29/2024 09:30:00 AM,030XX S KILDARE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1031,010,22,30,05,1148206,1884034,2024,05/17/2025 03:40:52 PM,41.837732112,-87.731666063,POINT (-87.731666063 41.837732112)
13706021,JH559553,12/29/2024 09:00:00 AM,048XX N KIMBALL AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1713,017,33,14,05,1152841,1931973,2024,05/17/2025 03:40:52 PM,41.969190882,-87.713386735,POINT (-87.713386735 41.969190882)
13705455,JH558846,12/29/2024 08:46:00 AM,014XX W 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,2222,022,21,73,05,1168184,1841735,2024,05/17/2025 03:40:52 PM,41.721251017,-87.659573806,POINT (-87.659573806 41.721251017)
13705508,JH558999,12/29/2024 08:43:00 AM,014XX W 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,2222,022,21,73,05,1168184,1841735,2024,05/17/2025 03:40:52 PM,41.721251017,-87.659573806,POINT (-87.659573806 41.721251017)
13705564,JH558825,12/29/2024 08:25:00 AM,011XX N LATROBE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1524,015,37,25,05,1141151,1907141,2024,05/17/2025 03:40:52 PM,41.901273461,-87.75698512,POINT (-87.75698512 41.901273461)
13706159,JH558767,12/29/2024 05:54:00 AM,069XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0735,007,17,67,05,1166880,1858661,2024,05/17/2025 03:40:52 PM,41.767726292,-87.663867778,POINT (-87.663867778 41.767726292)
13705495,JH558908,12/29/2024 05:30:00 AM,053XX S NAGLE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,0811,008,23,56,06,1134286,1868450,2024,05/17/2025 03:40:52 PM,41.795223188,-87.7831119,POINT (-87.7831119 41.795223188)
13705503,JH558752,12/29/2024 05:23:00 AM,039XX N SHERIDAN RD,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1923,019,46,6,05,1168899,1926279,2024,05/17/2025 03:40:52 PM,41.953232321,-87.654507591,POINT (-87.654507591 41.953232321)
13706012,JH558729,12/29/2024 04:06:00 AM,022XX N LINCOLN AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1812,018,43,7,05,1171639,1915133,2024,05/17/2025 03:40:52 PM,41.922587261,-87.644764322,POINT (-87.644764322 41.922587261)
13705506,JH558804,12/29/2024 03:51:00 AM,002XX W VAN BUREN ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,0122,001,34,32,05,1174617,1898485,2024,05/17/2025 03:40:52 PM,41.87683815,-87.634320718,POINT (-87.634320718 41.87683815)
