USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17031020801	655953	0	0.253	0.	41.9868081	-87.6944149                                                                                                                                                 
IL	17031020802	644017	0	0.249	0.	41.9940592	-87.6946306                                                                                                                                                 
IL	17031020901	485422	2818	0.187	0.001	41.9943922	-87.6854736                                                                                                                                           
IL	17031020902	501886	0	0.194	0.	41.9942585	-87.6786841                                                                                                                                                 
IL	17031030101	127283	110999	0.049	0.043	41.9910538	-87.654879                                                                                                                                          
IL	17031030102	113330	87128	0.044	0.034	41.9930264	-87.6550225                                                                                                                                          
IL	17031030103	86631	101282	0.033	0.039	41.9955241	-87.6551527                                                                                                                                          
IL	17031030104	110578	70440	0.043	0.027	41.9972773	-87.6559864                                                                                                                                          
IL	17031030200	666198	0	0.257	0.	41.9944414	-87.66523                                                                                                                                                   
IL	17031030300	314151	0	0.121	0.	41.9943875	-87.6725348                                                                                                                                                 
IL	17031030400	346486	0	0.134	0.	41.9869515	-87.6720788                                                                                                                                                 
IL	17031030500	618133	0	0.239	0.	41.987226	-87.6649359                                                                                                                                                  
IL	17031030601	149770	98467	0.058	0.038	41.9889716	-87.6546087                                                                                                                                          
IL	17031030603	116000	0	0.045	0.	41.9854762	-87.6583979                                                                                                                                                 
IL	17031030604	198590	89530	0.077	0.035	41.9858707	-87.6524546                                                                                                                                          
IL	17031030701	69878	0	0.027	0.	41.9827453	-87.6579659                                                                                                                                                  
IL	17031030702	22158	0	0.009	0.	41.9808148	-87.6545286                                                                                                                                                  
IL	17031030703	198290	0	0.077	0.	41.9788749	-87.6578708                                                                                                                                                 
IL	17031030706	392424	175618	0.152	0.068	41.9804151	-87.6509155                                                                                                                                         
IL	17031030800	567414	0	0.219	0.	41.9799123	-87.664188                                                                                                                                                  
IL	17031030900	408716	0	0.158	0.	41.9797951	-87.6714454                                                                                                                                                 
IL	17031031000	424897	0	0.164	0.	41.972437	-87.6711094                                                                                                                                                  
IL	17031031100	549965	0	0.212	0.	41.9726684	-87.6638662                                                                                                                                                 
IL	17031031200	326475	0	0.126	0.	41.9727092	-87.657341                                                                                                                                                  
IL	17031031300	632210	466785	0.244	0.18	41.9737646	-87.6465298                                                                                                                                          
IL	17031031400	1489274	1040213	0.575	0.402	41.9584475	-87.6424095                                                                                                                                       
IL	17031031501	159412	0	0.062	0.	41.9672886	-87.6524343                                                                                                                                                 
