P1_001N,GEO_ID,state,county,tract,block group
1117,1500000US170310813003,17,031,081300,3
678,1500000US170310813006,17,031,081300,6
1028,1500000US170310813001,17,031,081300,1
408,1500000US170310813002,17,031,081300,2
1745,1500000US170310813004,17,031,081300,4
564,1500000US170310813005,17,031,081300,5
1086,1500000US170310814011,17,031,081401,1
1422,1500000US170310814012,17,031,081401,2
3562,1500000US170310814021,17,031,081402,1
1800,1500000US170310814022,17,031,081402,2
1690,1500000US170310814023,17,031,081402,3
5316,1500000US170310814031,17,031,081403,1
1745,1500000US170310814032,17,031,081403,2
2782,1500000US170310814033,17,031,081403,3
1634,1500000US170310815001,17,031,081500,1
1945,1500000US170310815002,17,031,081500,2
2338,1500000US170310815003,17,031,081500,3
3096,1500000US170310816001,17,031,081600,1
1072,1500000US170310816002,17,031,081600,2
1805,1500000US170310817001,17,031,081700,1
3732,1500000US170310817002,17,031,081700,2
4007,1500000US170310818001,17,031,081800,1
3301,1500000US170310818002,17,031,081800,2
1580,1500000US170310818003,17,031,081800,3
2485,1500000US170310818004,17,031,081800,4
1325,1500000US170310819001,17,031,081900,1
728,1500000US170310901003,17,031,090100,3
990,1500000US170310901001,17,031,090100,1
996,1500000US170310901002,17,031,090100,2
871,1500000US170310901004,17,031,090100,4
1331,1500000US170310902002,17,031,090200,2
1883,1500000US170310902004,17,031,090200,4
938,1500000US170310902001,17,031,090200,1
1573,1500000US170310902003,17,031,090200,3
901,1500000US170310902005,17,031,090200,5
1314,1500000US170310903001,17,031,090300,1
1284,1500000US170311001001,17,031,100100,1
1450,1500000US170311001004,17,031,100100,4
1679,1500000US170311001002,17,031,100100,2
1125,1500000US170311001003,17,031,100100,3
1207,1500000US170311002003,17,031,100200,3
873,1500000US170311002006,17,031,100200,6
1154,1500000US170311002001,17,031,100200,1
914,1500000US170311002002,17,031,100200,2
809,1500000US170311002004,17,031,100200,4
1195,1500000US170311002005,17,031,100200,5
872,1500000US170311002007,17,031,100200,7
1169,1500000US170311003001,17,031,100300,1
973,1500000US170311003004,17,031,100300,4
1306,1500000US170311003002,17,031,100300,2
829,1500000US170311003003,17,031,100300,3
986,1500000US170311003005,17,031,100300,5
989,1500000US170311003006,17,031,100300,6
923,1500000US170311004001,17,031,100400,1
864,1500000US170311004002,17,031,100400,2
1420,1500000US170311004003,17,031,100400,3
1050,1500000US170311005001,17,031,100500,1
1292,1500000US170311005004,17,031,100500,4
826,1500000US170311005002,17,031,100500,2
944,1500000US170311005003,17,031,100500,3
2004,1500000US170311005005,17,031,100500,5
1052,1500000US170311006001,17,031,100600,1
1573,1500000US170311006004,17,031,100600,4
1080,1500000US170311006002,17,031,100600,2
1192,1500000US170311006003,17,031,100600,3
1041,1500000US170311007003,17,031,100700,3
830,1500000US170311007001,17,031,100700,1
879,1500000US170311007002,17,031,100700,2
934,1500000US170311007004,17,031,100700,4
1283,1500000US170311007005,17,031,100700,5
1654,1500000US170311101001,17,031,110100,1
1154,1500000US170311101002,17,031,110100,2
672,1500000US170311101003,17,031,110100,3
993,1500000US170311101004,17,031,110100,4
1095,1500000US170311101005,17,031,110100,5
1553,1500000US170311102001,17,031,110200,1
1219,1500000US170311102002,17,031,110200,2
714,1500000US170311103001,17,031,110300,1
1079,1500000US170311103002,17,031,110300,2
756,1500000US170311103003,17,031,110300,3
1417,1500000US170311103004,17,031,110300,4
1382,1500000US170311103005,17,031,110300,5
1719,1500000US170311104001,17,031,110400,1
1429,1500000US170311104002,17,031,110400,2
1374,1500000US170311104003,17,031,110400,3
1751,1500000US170311105012,17,031,110501,2
827,1500000US170311105011,17,031,110501,1
649,1500000US170311105013,17,031,110501,3
1559,1500000US170311105014,17,031,110501,4
1445,1500000US170311105021,17,031,110502,1
1775,1500000US170311105022,17,031,110502,2
969,1500000US170311201002,17,031,120100,2
1615,1500000US170311201001,17,031,120100,1
